ROWID,Country,State lgd code,State,Yearcode,Year,Monthcode,Month,Gst ( goods and service tax ) return type,Payer eligible for gst ( goods and service tax ) registration,Gst ( goods and service tax ) payers registered before due date,Gst ( goods and service tax ) payers registered after due date
42,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",201812,"March, 2019",GSTR-3,88878,42179,36260
43,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",GSTR-1,48072,6997,20088
44,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",GSTR-3,89187,53407,24907
45,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201902,"May, 2019",GSTR-1,46923,6739,20468
46,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201902,"May, 2019",GSTR-3,90152,55801,23273
47,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201903,"June, 2019",GSTR-1,90874,24941,48137
48,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201903,"June, 2019",GSTR-3,90874,58011,21568
49,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019",GSTR-1,43438,3444,23653
50,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019",GSTR-3,91798,24045,55345
51,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201905,"August, 2019",GSTR-1,43229,3119,23972
52,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201905,"August, 2019",GSTR-3,92245,22247,57170
53,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201906,"September, 2019",GSTR-1,92462,8312,64276
54,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201906,"September, 2019",GSTR-3,92462,20236,59353
55,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201907,"October, 2019",GSTR-1,42646,3083,24120
56,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201907,"October, 2019",GSTR-3,92639,22509,57426
57,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201908,"November, 2019",GSTR-1,41914,4048,23289
58,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201908,"November, 2019",GSTR-3,92563,48036,32237
59,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201909,"December, 2019",GSTR-1,92194,24884,47985
60,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201909,"December, 2019",GSTR-3,92194,41704,39108
61,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020",GSTR-1,39353,7077,20085
62,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020",GSTR-3,91657,58255,21445
63,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020",GSTR-1,39314,13695,13399
64,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020",GSTR-3,91600,50491,29085
65,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",GSTR-1,85741,34032,36168
66,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",GSTR-3,85741,6664,73301
67,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202001,"April, 2020",GSTR-1,83180,13540,13838
68,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202001,"April, 2020",GSTR-3,83362,6915,72177
69,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202002,"May, 2020",GSTR-1,76769,12479,14935
70,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202002,"May, 2020",GSTR-3,83081,20447,58617
71,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",GSTR-1,83835,19860,52175
72,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",GSTR-3,83835,27415,52698
73,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202004,"July, 2020",GSTR-1,48665,3764,24244
74,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202004,"July, 2020",GSTR-3,86377,27314,53842
75,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202005,"August, 2020",GSTR-1,46482,5115,23103
76,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202005,"August, 2020",GSTR-3,87783,45076,36720
77,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202006,"September, 2020",GSTR-1,88382,33086,40282
78,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202006,"September, 2020",GSTR-3,88382,57872,24267
79,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202007,"October, 2020",GSTR-1,40367,6289,22456
80,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202007,"October, 2020",GSTR-3,88352,60368,22227
81,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202008,"November, 2020",GSTR-1,37461,7315,21711
82,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202008,"November, 2020",GSTR-3,86447,63625,19358
83,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202009,"December, 2020",GSTR-1,84627,48387,26207
84,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202009,"December, 2020",GSTR-3,84627,66253,17202
85,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202010,"January, 2021",GSTR-1,45594,12473,26419
86,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202010,"January, 2021",GSTR-3,45570,27633,16638
87,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202011,"February, 2021",GSTR-1,44931,14318,25329
88,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202011,"February, 2021",GSTR-3,44854,27633,17543
89,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202012,"March, 2021",GSTR-1,84140,29823,47373
90,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",202012,"March, 2021",GSTR-3,84140,60758,24830
91,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202101,"April, 2021",GSTR-1,54507,5487,45167
92,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202101,"April, 2021",GSTR-3,54507,9587,46027
93,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202102,"May, 2021",GSTR-1,53973,6160,44699
94,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202102,"May, 2021",GSTR-3,53973,13356,42670
95,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",202103,"June, 2021",GSTR-1,85686,23258,56891
