ROWID,Country,State lgd code,State,Yearcode,Year,Monthcode,Month,Gst ( goods and service tax ) return type,Payer eligible for gst ( goods and service tax ) registration,Gst ( goods and service tax ) payers registered before due date,Gst ( goods and service tax ) payers registered after due date
477,India,5,Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",GSTR-1,100078,66450,20736
478,India,5,Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",GSTR-3,100078,36786,56685
479,India,5,Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",GSTR-1,34094,23403,3327
480,India,5,Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",GSTR-3,94880,42018,45657
481,India,5,Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",201708,"November, 2017",GSTR-1,34556,23613,3821
482,India,5,Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",201708,"November, 2017",GSTR-3,97711,50544,38473
483,India,5,Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017",GSTR-1,99756,65197,21882
484,India,5,Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017",GSTR-3,99756,58927,31349
485,India,5,Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018",GSTR-1,35615,23140,4530
486,India,5,Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018",GSTR-3,102558,60515,31750
487,India,5,Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018",GSTR-1,36218,22807,4984
488,India,5,Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018",GSTR-3,105004,62029,32083
489,India,5,Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018",GSTR-1,107596,64849,27709
490,India,5,Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018",GSTR-3,107596,60565,35796
491,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018",GSTR-1,52360,22341,5832
492,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018",GSTR-3,111971,43545,54871
493,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201802,"May, 2018",GSTR-1,53901,22049,6447
494,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201802,"May, 2018",GSTR-3,115537,66131,34519
495,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201803,"June, 2018",GSTR-1,118806,63036,34944
496,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201803,"June, 2018",GSTR-3,118806,67038,35369
497,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201804,"July, 2018",GSTR-1,54910,20710,8353
498,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201804,"July, 2018",GSTR-3,120793,75202,28702
499,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018",GSTR-1,53463,19128,10061
500,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018",GSTR-3,122691,68074,37257
501,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201806,"September, 2018",GSTR-1,122477,47200,54771
502,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201806,"September, 2018",GSTR-3,122477,76925,29673
503,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201807,"October, 2018",GSTR-1,49944,7005,22596
504,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201807,"October, 2018",GSTR-3,123042,69251,38668
505,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201808,"November, 2018",GSTR-1,48590,9796,19807
506,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201808,"November, 2018",GSTR-3,123517,74326,33014
507,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018",GSTR-1,123658,17890,86694
508,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018",GSTR-3,123658,74438,34292
509,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201810,"January, 2019",GSTR-1,44859,10293,19720
510,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201810,"January, 2019",GSTR-3,124350,68508,41517
511,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019",GSTR-1,44209,10257,19715
512,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019",GSTR-3,126171,82580,28794
513,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201812,"March, 2019",GSTR-1,128280,15951,91705
514,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",201812,"March, 2019",GSTR-3,128280,65668,47144
515,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",GSTR-1,63886,9076,21445
516,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",GSTR-3,128920,75376,36009
517,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201902,"May, 2019",GSTR-1,59731,8983,21724
518,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201902,"May, 2019",GSTR-3,128392,79157,33260
519,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201903,"June, 2019",GSTR-1,129422,41948,67504
520,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201903,"June, 2019",GSTR-3,129422,81379,31767
521,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019",GSTR-1,54062,8722,22408
522,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019",GSTR-3,131061,86489,27909
523,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201905,"August, 2019",GSTR-1,51426,9149,22237
524,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201905,"August, 2019",GSTR-3,131538,80958,34409
525,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201906,"September, 2019",GSTR-1,131532,36806,75800
526,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201906,"September, 2019",GSTR-3,131532,74512,41865
527,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201907,"October, 2019",GSTR-1,48183,8536,23368
528,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201907,"October, 2019",GSTR-3,131053,80628,36578
529,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201908,"November, 2019",GSTR-1,44607,10679,21668
530,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201908,"November, 2019",GSTR-3,129677,95738,22422
531,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201909,"December, 2019",GSTR-1,128458,72827,42039
532,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201909,"December, 2019",GSTR-3,128458,81731,37661
533,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020",GSTR-1,43497,16192,16098
534,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020",GSTR-3,129146,97984,22458
535,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020",GSTR-1,42767,23867,8405
536,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020",GSTR-3,130276,90875,30670
537,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",GSTR-1,131773,76153,37460
538,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",GSTR-3,131773,10376,111646
539,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202001,"April, 2020",GSTR-1,131130,23385,11026
540,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202001,"April, 2020",GSTR-3,131425,16526,103027
541,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202002,"May, 2020",GSTR-1,113453,21629,12983
542,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202002,"May, 2020",GSTR-3,130423,36716,83079
543,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",GSTR-1,130093,48813,65629
544,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",GSTR-3,130093,46924,74012
545,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202004,"July, 2020",GSTR-1,63308,8113,27297
546,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202004,"July, 2020",GSTR-3,132671,51090,71918
547,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202005,"August, 2020",GSTR-1,61226,10542,25203
548,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202005,"August, 2020",GSTR-3,135332,73229,51446
549,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202006,"September, 2020",GSTR-1,138271,67081,51707
550,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202006,"September, 2020",GSTR-3,138271,92621,33514
551,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202007,"October, 2020",GSTR-1,55999,12050,24654
552,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202007,"October, 2020",GSTR-3,140605,95239,32878
553,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202008,"November, 2020",GSTR-1,53588,13215,23950
554,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202008,"November, 2020",GSTR-3,141075,102644,27025
555,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202009,"December, 2020",GSTR-1,140248,89694,33860
556,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202009,"December, 2020",GSTR-3,140248,106298,24789
557,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202010,"January, 2021",GSTR-1,71286,24007,34794
558,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202010,"January, 2021",GSTR-3,71169,39594,23843
559,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202011,"February, 2021",GSTR-1,69175,27077,33412
560,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202011,"February, 2021",GSTR-3,69125,39594,25457
561,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202012,"March, 2021",GSTR-1,138667,59508,68201
562,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",202012,"March, 2021",GSTR-3,138667,93683,40655
563,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202101,"April, 2021",GSTR-1,78917,8578,62624
564,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202101,"April, 2021",GSTR-3,78917,12881,61697
565,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202102,"May, 2021",GSTR-1,78856,9730,61435
566,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202102,"May, 2021",GSTR-3,78856,17527,56812
567,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202103,"June, 2021",GSTR-1,139510,46993,81551
568,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202103,"June, 2021",GSTR-3,139510,87652,46417
569,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202104,"July, 2021",GSTR-1,78838,32096,38916
570,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202104,"July, 2021",GSTR-3,78838,52549,21417
571,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021",GSTR-1,80553,35632,36954
572,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021",GSTR-3,80553,54241,21567
573,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202106,"September, 2021",GSTR-1,144082,68685,63168
574,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202106,"September, 2021",GSTR-3,144082,105555,32221
575,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202107,"October, 2021",GSTR-1,79635,36874,34622
576,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202107,"October, 2021",GSTR-3,79635,56321,18092
577,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202108,"November, 2021",GSTR-1,81274,59053,13899
578,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202108,"November, 2021",GSTR-3,81274,57925,17804
579,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021",GSTR-1,148266,70573,64019
580,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021",GSTR-3,148266,112495,27580
581,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202110,"January, 2022",GSTR-1,81291,43366,29296
582,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202110,"January, 2022",GSTR-3,81291,58292,17001
583,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022",GSTR-1,82359,61782,11633
584,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022",GSTR-3,82359,57689,18381
585,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202112,"March, 2022",GSTR-1,151377,70019,62962
586,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",202112,"March, 2022",GSTR-3,151377,108550,30037
587,India,5,Uttarakhand,2022,"Financial Year (Apr - Mar), 2022",202201,"April, 2022",GSTR-1,82800,42401,28913
588,India,5,Uttarakhand,2022,"Financial Year (Apr - Mar), 2022",202201,"April, 2022",GSTR-3,82800,63216,10363
589,India,5,Uttarakhand,2022,"Financial Year (Apr - Mar), 2022",202202,"May, 2022",GSTR-1,84757,44611,25414
590,India,5,Uttarakhand,2022,"Financial Year (Apr - Mar), 2022",202202,"May, 2022",GSTR-3,84757,61757,9355
591,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017",GSTR-1,260418,210196,39417
592,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017",GSTR-3,260418,159587,97618
593,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017",GSTR-1,106224,90425,3473
594,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017",GSTR-3,286641,130400,150779
595,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",GSTR-1,302837,237446,49073
596,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",GSTR-3,302837,170439,125974
597,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",GSTR-1,109560,93762,4297
598,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",GSTR-3,306332,193777,103023
599,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",201708,"November, 2017",GSTR-1,111025,94759,4885
600,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",201708,"November, 2017",GSTR-3,314476,216728,84883
601,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017",GSTR-1,321480,247493,55385
602,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017",GSTR-3,321480,240271,66404
603,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018",GSTR-1,113833,95230,5973
604,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018",GSTR-3,329345,234939,78355
605,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018",GSTR-1,115406,95413,6637
606,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018",GSTR-3,337143,240084,79995
607,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018",GSTR-1,343982,255642,65444
608,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018",GSTR-3,343982,234211,91870
609,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018",GSTR-1,155733,97411,10145
610,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018",GSTR-3,360761,154097,177434
611,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201802,"May, 2018",GSTR-1,161212,97518,11158
612,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201802,"May, 2018",GSTR-3,372922,254189,84702
613,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201803,"June, 2018",GSTR-1,381930,263247,75117
614,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201803,"June, 2018",GSTR-3,381930,254451,89715
615,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201804,"July, 2018",GSTR-1,166252,93663,16817
616,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201804,"July, 2018",GSTR-3,389114,280221,68288
617,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018",GSTR-1,165152,87089,24018
618,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018",GSTR-3,396878,244035,109744
619,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201806,"September, 2018",GSTR-1,399083,194769,156616
620,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201806,"September, 2018",GSTR-3,399083,278671,79545
621,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201807,"October, 2018",GSTR-1,161513,42906,69638
622,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201807,"October, 2018",GSTR-3,405863,255866,106366
623,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201808,"November, 2018",GSTR-1,160836,57569,55350
624,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201808,"November, 2018",GSTR-3,411169,269657,93486
625,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018",GSTR-1,416803,83038,279267
626,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018",GSTR-3,416803,268109,99449
627,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201810,"January, 2019",GSTR-1,155966,61372,52699
628,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201810,"January, 2019",GSTR-3,418669,238314,131153
629,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019",GSTR-1,151260,60664,53489
630,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019",GSTR-3,419885,295280,76707
631,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201812,"March, 2019",GSTR-1,421476,73250,294102
632,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",201812,"March, 2019",GSTR-3,421476,227071,147714
633,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",GSTR-1,201278,54761,63787
634,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",GSTR-3,422912,269729,103911
635,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201902,"May, 2019",GSTR-1,192033,57044,61857
636,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201902,"May, 2019",GSTR-3,423730,286627,89167
637,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201903,"June, 2019",GSTR-1,423764,203791,166842
638,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201903,"June, 2019",GSTR-3,423764,289880,86617
639,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019",GSTR-1,173026,53550,66357
640,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019",GSTR-3,424544,307634,70678
641,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201905,"August, 2019",GSTR-1,166832,57350,63152
642,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201905,"August, 2019",GSTR-3,425499,287072,92971
643,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201906,"September, 2019",GSTR-1,423483,162525,214725
644,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201906,"September, 2019",GSTR-3,423483,257257,125443
645,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201907,"October, 2019",GSTR-1,160277,49199,72425
646,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201907,"October, 2019",GSTR-3,424856,277993,106779
647,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201908,"November, 2019",GSTR-1,154903,58722,64243
648,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201908,"November, 2019",GSTR-3,424839,326676,60875
649,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201909,"December, 2019",GSTR-1,424443,279971,103514
650,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201909,"December, 2019",GSTR-3,424443,277565,112391
651,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020",GSTR-1,153606,79984,43605
652,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020",GSTR-3,424329,328225,62935
653,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020",GSTR-1,146565,102643,20864
654,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020",GSTR-3,421659,300609,93003
655,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",GSTR-1,423351,295079,87390
656,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",GSTR-3,423351,26737,367224
657,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202001,"April, 2020",GSTR-1,422507,106227,31287
658,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202001,"April, 2020",GSTR-3,423209,38552,349962
659,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202002,"May, 2020",GSTR-1,384273,99951,38057
660,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202002,"May, 2020",GSTR-3,421109,110504,278388
661,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",GSTR-1,424733,204251,178728
662,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",GSTR-3,424733,164373,227140
663,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202004,"July, 2020",GSTR-1,216203,50298,90431
664,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202004,"July, 2020",GSTR-3,432397,177198,219233
665,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202005,"August, 2020",GSTR-1,208829,60014,82264
666,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202005,"August, 2020",GSTR-3,439116,245256,157787
667,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202006,"September, 2020",GSTR-1,444211,272954,125171
668,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202006,"September, 2020",GSTR-3,444211,299318,107582
669,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202007,"October, 2020",GSTR-1,197957,64929,79367
670,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202007,"October, 2020",GSTR-3,451674,309568,102561
671,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202008,"November, 2020",GSTR-1,192342,69943,76126
672,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202008,"November, 2020",GSTR-3,454057,326603,89408
673,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202009,"December, 2020",GSTR-1,454238,344564,67200
674,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202009,"December, 2020",GSTR-3,454238,342430,76305
675,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202010,"January, 2021",GSTR-1,236575,106627,94017
676,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202010,"January, 2021",GSTR-3,236480,136528,70947
677,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202011,"February, 2021",GSTR-1,231251,121858,83130
678,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202011,"February, 2021",GSTR-3,230595,136528,74635
679,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202012,"March, 2021",GSTR-1,438177,261060,155430
680,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",202012,"March, 2021",GSTR-3,438177,308249,113040
681,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202101,"April, 2021",GSTR-1,255914,33110,202081
682,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202101,"April, 2021",GSTR-3,255914,41806,196995
683,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202102,"May, 2021",GSTR-1,256165,40790,194459
684,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202102,"May, 2021",GSTR-3,256165,58042,180318
685,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202103,"June, 2021",GSTR-1,440788,219466,196461
686,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202103,"June, 2021",GSTR-3,440788,289078,130512
687,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202104,"July, 2021",GSTR-1,256617,145390,92509
688,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202104,"July, 2021",GSTR-3,256617,181427,59356
689,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021",GSTR-1,263426,157088,85498
690,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202105,"August, 2021",GSTR-3,263426,184322,61453
691,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202106,"September, 2021",GSTR-1,454446,288431,138410
692,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202106,"September, 2021",GSTR-3,454446,344585,86360
693,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202107,"October, 2021",GSTR-1,261808,160809,79505
694,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202107,"October, 2021",GSTR-3,261808,191536,51946
695,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202108,"November, 2021",GSTR-1,265773,212462,31424
696,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202108,"November, 2021",GSTR-3,265773,195152,51472
697,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021",GSTR-1,464263,292029,142482
698,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202109,"December, 2021",GSTR-3,464263,361115,76960
699,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202110,"January, 2022",GSTR-1,264802,181626,62803
700,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202110,"January, 2022",GSTR-3,264802,197663,49640
701,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022",GSTR-1,267720,221849,26416
702,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202111,"February, 2022",GSTR-3,267720,198828,52022
703,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202112,"March, 2022",GSTR-1,469904,301898,133786
704,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",202112,"March, 2022",GSTR-3,469904,352171,85593
705,India,6,Haryana,2022,"Financial Year (Apr - Mar), 2022",202201,"April, 2022",GSTR-1,272326,183979,61353
